Data_Hora,Dificuldade,Populacao,Geracoes_Treinadas,Fitness_Max,Fitness_Medio,Elite_HP,Elite_Atk,Elite_AtkSpd,Elite_MovSpd,Elite_Sobrevivencia,Elite_Desvios,Elite_Colisoes,Elite_DanoCausado,Elite_DanoTomado,Tempo_Treino_Seg,Modo_EDS
2026-09-01 16:15:19,1,20,28,804.45,567.81,14,42,2.24,2.80,27.70,19,1,2377.63,25.00,105.01,0
2026-09-01 16:16:07,3,100,17,640.53,110.82,49,25,1.83,5.14,7.20,17,2,304.30,50.00,194.27,0
2026-09-01 16:17:10,1,20,30,801.92,543.14,25,41,2.38,2.23,18.15,12,2,1559.56,50.00,110.37,0
2026-09-01 16:17:15,2,50,20,552.50,267.83,83,26,1.47,4.67,17.65,18,4,610.53,100.00,190.72,0
2026-09-01 16:18:23,1,20,17,821.87,543.42,31,40,2.61,1.44,10.95,6,2,1007.51,50.00,71.71,0
2026-09-01 16:19:22,3,100,16,468.49,113.26,41,34,1.39,5.44,14.80,36,3,614.31,75.00,245.56,0
2026-09-01 16:19:23,3,100,17,468.42,105.39,36,30,1.66,5.34,7.90,17,2,360.42,50.00,194.40,0
2026-09-01 16:20:20,2,50,20,586.07,249.18,53,33,1.46,4.56,13.35,14,3,584.33,75.00,183.49,0
2026-09-01 16:23:24,1,20,30,804.70,624.10,30,45,2.14,1.99,11.60,5,2,969.46,50.00,111.72,0
2026-09-01 16:23:49,2,50,16,597.80,266.87,55,37,1.76,3.45,20.05,18,3,1131.69,75.00,136.94,0
2026-09-01 16:25:26,3,100,18,556.26,104.94,66,26,1.75,4.79,9.80,18,3,393.02,75.00,234.09,0
2026-09-01 16:25:37,1,20,30,832.22,597.61,10,44,2.29,2.56,14.10,9,1,1265.81,25.00,131.15,0
2026-09-01 16:26:43,2,50,17,615.15,257.44,54,29,2.31,3.14,19.85,23,3,1143.15,75.00,172.66,0
2026-09-01 16:27:36,1,20,30,714.19,571.40,54,41,2.04,2.14,30.00,21,1,2240.87,25.00,118.05,0
2026-09-01 16:28:38,3,100,17,438.04,108.57,31,25,1.75,6.04,9.10,18,2,343.04,50.00,190.00,0
2026-09-01 16:29:31,1,20,28,753.99,542.94,44,43,2.00,2.14,24.45,16,2,1904.38,50.00,114.14,0
2026-09-01 16:30:05,2,50,22,587.74,243.78,62,28,1.96,3.94,18.10,18,3,865.98,75.00,201.13,0
2026-09-01 16:31:30,1,20,30,751.99,517.99,35,35,2.48,2.32,30.00,23,1,2285.14,25.00,117.96,0
2026-09-01 16:32:24,3,100,19,508.83,116.28,31,39,1.54,4.36,3.60,5,2,203.16,50.00,225.09,0
2026-09-01 16:32:36,2,50,17,592.86,239.96,31,35,1.86,4.05,11.10,10,2,638.51,50.00,149.92,0
2026-09-01 16:32:53,1,20,20,734.42,575.22,31,40,2.18,2.47,30.00,22,1,2249.10,25.00,82.35,0
2026-09-01 16:34:56,1,20,29,751.69,525.23,34,33,2.74,2.14,29.45,20,2,2297.49,50.00,121.39,0
2026-09-01 16:35:27,2,50,18,558.77,233.91,77,37,1.80,2.46,18.10,20,4,1015.74,100.00,170.24,0
2026-09-01 16:35:52,3,100,17,527.40,98.80,53,27,1.71,5.13,9.35,20,3,394.72,75.00,207.14,0
2026-09-01 16:36:31,1,20,22,768.94,542.27,15,45,2.05,2.08,30.00,23,0,2417.48,0.00,94.75,0
