Data_Hora,Dificuldade,Modo_EDS,Mobilidade,Classe,Fitness,HP,Atk,AtkSpd,MovSpd
2026-09-01 17:06:22,2,0,Lento,Balanceado,727.84,72,26,1.26,4.02
2026-09-01 17:06:22,2,0,Lento,Dano(GlassCannon),587.10,19,24,1.62,3.54
2026-09-01 17:06:22,2,0,Medio,Tank,784.63,97,23,1.38,5.09
2026-09-01 17:06:22,2,0,Medio,Balanceado,663.49,49,20,1.89,5.44
2026-09-01 17:06:22,2,0,Medio,Dano(GlassCannon),823.95,20,27,1.94,5.72
2026-09-01 17:06:22,2,0,Rapido,Tank,297.89,123,8,1.23,6.88
2026-09-01 17:06:49,3,0,Lento,Tank,1814.63,127,27,1.39,3.47
2026-09-01 17:06:49,3,0,Lento,Balanceado,1813.53,85,29,1.64,3.69
2026-09-01 17:06:49,3,0,Lento,Dano(GlassCannon),633.89,24,26,2.73,3.12
2026-09-01 17:06:49,3,0,Medio,Tank,1533.91,129,15,1.01,4.59
2026-09-01 17:06:49,3,0,Medio,Balanceado,988.13,35,32,1.71,5.18
2026-09-01 17:06:49,3,0,Medio,Dano(GlassCannon),595.75,21,33,1.45,6.17
2026-09-01 17:06:49,3,0,Rapido,Tank,781.48,161,7,0.89,6.54
2026-09-01 17:06:49,3,0,Rapido,Balanceado,676.68,55,25,0.95,7.14
2026-09-01 17:06:49,3,0,Rapido,Dano(GlassCannon),596.61,37,38,0.66,7.05
2026-09-01 17:08:03,1,0,Lento,Tank,381.35,106,34,1.50,2.66
2026-09-01 17:08:03,1,0,Lento,Balanceado,528.53,42,37,2.08,2.93
2026-09-01 17:08:03,1,0,Lento,Dano(GlassCannon),605.19,10,39,2.32,3.20
2026-09-01 17:08:03,1,0,Medio,Tank,275.98,114,22,1.34,4.71
2026-09-01 17:08:03,1,0,Medio,Balanceado,422.78,41,34,1.72,4.54
2026-09-01 17:08:03,1,0,Medio,Dano(GlassCannon),486.88,10,32,2.16,4.76
2026-09-01 17:09:17,1,0,Lento,Tank,411.66,96,28,2.13,1.86
2026-09-01 17:09:17,1,0,Lento,Balanceado,568.27,50,38,2.27,2.01
2026-09-01 17:09:17,1,0,Lento,Dano(GlassCannon),547.36,35,38,2.26,2.01
2026-09-01 17:09:17,1,0,Medio,Tank,253.65,69,11,2.29,5.44
2026-09-01 17:09:17,1,0,Medio,Balanceado,322.21,54,38,0.98,5.51
2026-09-01 17:09:17,1,0,Medio,Dano(GlassCannon),415.19,31,33,1.72,5.16
2026-09-01 17:09:17,1,0,Rapido,Tank,108.23,160,10,0.68,6.83
2026-09-01 17:09:17,1,0,Rapido,Balanceado,260.95,33,14,1.85,7.51
2026-09-01 17:09:44,2,0,Lento,Tank,826.29,110,33,1.31,2.71
2026-09-01 17:09:44,2,0,Lento,Balanceado,912.57,78,33,1.49,4.00
2026-09-01 17:09:44,2,0,Lento,Dano(GlassCannon),723.49,26,32,0.77,4.14
2026-09-01 17:09:44,2,0,Medio,Tank,827.25,92,25,1.47,4.70
2026-09-01 17:09:44,2,0,Medio,Balanceado,879.21,62,27,1.54,5.39
2026-09-01 17:09:44,2,0,Medio,Dano(GlassCannon),386.88,12,44,0.93,5.17
2026-09-01 17:09:44,2,0,Rapido,Tank,455.92,83,25,0.80,6.94
2026-09-01 17:09:44,2,0,Rapido,Balanceado,411.18,19,16,1.87,7.22
2026-09-01 17:09:44,2,0,Rapido,Dano(GlassCannon),458.28,19,19,1.87,7.22
2026-09-01 17:10:59,1,0,Lento,Tank,417.52,93,30,1.98,2.43
2026-09-01 17:10:59,1,0,Lento,Balanceado,571.36,48,41,2.09,2.10
2026-09-01 17:10:59,1,0,Lento,Dano(GlassCannon),647.54,17,50,2.01,2.08
2026-09-01 17:10:59,1,0,Medio,Tank,330.08,82,22,1.83,4.58
2026-09-01 17:10:59,1,0,Medio,Balanceado,367.65,55,33,1.43,5.08
2026-09-01 17:10:59,1,0,Rapido,Balanceado,275.64,39,14,2.14,6.57
2026-09-01 17:11:31,3,0,Lento,Tank,1809.42,100,20,0.82,4.06
2026-09-01 17:11:31,3,0,Lento,Balanceado,1757.28,79,29,1.61,4.24
2026-09-01 17:11:31,3,0,Lento,Dano(GlassCannon),683.93,18,36,2.34,3.31
2026-09-01 17:11:31,3,0,Medio,Tank,1510.72,161,12,0.77,5.52
2026-09-01 17:11:31,3,0,Medio,Balanceado,1322.95,51,23,1.14,4.95
2026-09-01 17:11:31,3,0,Medio,Dano(GlassCannon),667.82,25,28,1.99,5.35
2026-09-01 17:11:31,3,0,Rapido,Tank,840.46,81,25,0.64,6.66
