Data_Hora,Dificuldade,Modo_EDS,Mobilidade,Classe,Fitness,HP,Atk,AtkSpd,MovSpd
2026-09-01 14:46:18,1,0,Lento,Dano(GlassCannon),361.77,10,47,2.27,2.10
2026-09-01 14:46:18,1,0,Medio,Tank,161.31,87,20,1.76,4.90
2026-09-01 14:46:18,1,0,Medio,Balanceado,227.26,36,30,1.97,4.65
2026-09-01 14:46:18,1,0,Medio,Dano(GlassCannon),241.83,24,31,2.03,4.79
2026-09-01 14:46:18,1,0,Rapido,Tank,103.06,110,16,0.93,6.99
2026-09-01 14:47:05,1,0,Lento,Tank,221.01,98,31,1.98,2.24
2026-09-01 14:47:05,1,0,Lento,Balanceado,298.88,41,40,2.24,1.97
2026-09-01 14:47:05,1,0,Lento,Dano(GlassCannon),363.98,10,48,2.36,1.71
2026-09-01 14:47:05,1,0,Medio,Tank,158.60,88,24,1.35,5.35
2026-09-01 14:47:05,1,0,Medio,Balanceado,185.00,67,33,1.33,4.79
2026-09-01 14:47:05,1,0,Medio,Dano(GlassCannon),228.04,18,24,2.42,4.95
2026-09-01 14:47:05,1,0,Rapido,Tank,99.01,79,7,1.72,7.16
2026-09-01 14:47:05,1,0,Rapido,Balanceado,147.05,53,29,1.04,6.63
2026-09-01 14:47:28,2,0,Lento,Tank,224.10,65,18,1.78,4.15
2026-09-01 14:47:28,2,0,Lento,Balanceado,257.44,52,33,1.73,4.17
2026-09-01 14:47:28,2,0,Lento,Dano(GlassCannon),270.31,28,37,1.68,3.57
2026-09-01 14:47:28,2,0,Medio,Tank,216.10,65,12,1.78,4.80
2026-09-01 14:47:28,2,0,Medio,Balanceado,254.95,45,33,1.35,5.17
2026-09-01 14:47:28,2,0,Medio,Dano(GlassCannon),266.98,28,35,1.68,5.02
2026-09-01 14:47:28,2,0,Rapido,Tank,175.63,34,7,1.81,6.57
2026-09-01 14:47:28,2,0,Rapido,Balanceado,226.98,33,21,1.81,6.57
